Video Show,Show year,Location,Key Execs,Key Board Members,Key Advisory Board Members,Key Investors,Key Partnerships,Key Customers,Company Details,Company Profile,Url,Image
Spreedly,2014,Spring,"Justin Benson (CEO), Nathaniel Talbott (CTO)",,,Emerge.be,"In mid 2013, Spreedly and Shopify teamed up to create the Gateway Index, an assessment of more than 50 popular payment gateways, where merchants and fintech solution providers can now come to compare gateway performance and determine which best meet their specific needs.","Our more than 150 customers include SaaS commerce platforms, billing and booking solutions, fintech payment services, and mobile and marketplace offerings. Among those customers are Fusebill, BoxTV, Cabify, Open Dining, Pin Payments, PayByGroup, PushPay, Ribbon, ChargeBee, and Walla.by.","<strong>Website: </strong><a href=""http://spreedly.com"" target=""_blank"">spreedly.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.spreedly.com"" target=""_blank"">blog.spreedly.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@spreedly"" target=""_blank"">@spreedly</a><br>
                      <br>
                               <strong> HQ: </strong>Durham, NC<br>
                               <strong>Founded:</strong> January 2008, hard pivot in March 2013<br>
                               <strong>Product  Demoed:</strong> Payment Method Distribution &amp; Card on  File Updater <br>
                               <strong>Product  Launch:</strong> April 2014<br>
                               <strong>Metrics:</strong> We have raised $1M in angel funding, have  150 customers, and are processing approximately 160,000 successful CC transactions  (worth around $15M to $20M in top-line revenue) monthly on our platform.<br>
                  <strong>Presenters: </strong>Justin Benson (CEO),
                  Brendon Prebble (Business Development)","                    <strong>How they describe themselves: </strong>Spreedly is a credit card  vault in the Cloud that provides all the benefits of tokenization without ever  having cards locked into any payment gateway or third-party service. Our credit  card vault allows businesses to securely tokenize and store credit card  information in the Cloud for single and repeat transactions across any of our 50+  supported payment gateways. Launched in March 2013, we’re a seven-person  angel-funded startup in Durham, NC. Our more than 150 customers include SaaS  commerce platforms, billing and booking solutions, fintech payment services,  and mobile and marketplace offerings.                    <p><strong>How  they describe their product/innovation:</strong> Prior to today, Spreedly could  take a stored card and pass it against a Spreedly integrated payment gateway.  With today’s announcement three new things are happening. Firstly, customer’s  can create their own end points to which they want to pass cards. No more  relying on Spreedly to do the work. Secondly, those end points can be more than  just payment gateways. Think of it as an industry API for consuming card data  (hotel, ticketing, restaurant, and transportation). And thirdly, customers can  use Spreedly to automatically update cards across 60+ gateways, which means no  more lost revenue from lost or expired cards.</p>",http://www.finovate.com/spring14vid/spreedly.html,http://www.finovate.com/spring14vid/logos/Spreedly.jpg
Interactions,2014,Spring,"Michael Iacobucci (CEO), David Parkinson (COO), Ed Durkin (CFO), David Samuels (CSO), Yoryos Yeracaris (CTO)",,,"Sigma Partners, Sigma Prime Ventures, Cross Atlantic Capital Partners, Updata Partners, North Hill Ventures, SoftBank Capital",AT&T WATSON,"Fortune 100 Consumer Electronics Retailer – Online Store and Retail Store Applications, TXU Energy – Customer Care, Hyatt – Hyatt Central Reservations, Humana – Automated Medicare Enrollments, Best Western – Central Rewards","<strong>Website: </strong><a href=""http://interactions.net"" target=""_blank"">interactions.net</a><br>
                  <strong>Blog:</strong> <a href=""http://interactions.net/blog"" target=""_blank"">interactions.net/blog</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@interactionsco"" target=""_blank"">@interactionsco</a><br>
                      <br>
                               <strong> HQ: </strong>Franklin, MA<br>
                               <strong>Founded:</strong> 2004<br>
                               <strong>Product  Demoed:</strong> Conversational  solutions for banking &amp; financial institutions<br>
                               <strong>Product  Launch:</strong> September 2013<br>
                      <strong>Metrics:</strong> We have raised over $100M to date, most  recently highlighted by a $40M round led by SoftBank Capital. Our customers  include several Fortune 100 companies.<br>
                  <strong>Presenters: </strong>Dan Fox (Marketing Manager)","                    <strong>How they describe themselves: </strong>Interactions  is changing the way leading companies communicate with their customers by transforming  frustrating customer-care experiences into productive conversations. We deliver  conversational customer-care, sales, service, and support solutions based on  our patented adaptive-understandingä technology  that seamlessly integrates human and artificial intelligence. We’re a hosted  service provider with a success-based pricing model that removes risk for our  enterprise-class clients. The result is a dramatic reduction in cost,  unparalleled customer experience, and increased brand loyalty.                    <p><strong>How  they describe their product/innovation:</strong> Interactions is demoing their conversational solutions for  financial institutions. Conversational solutions can seamlessly provide callers  with access to balance, transaction history, and account information; yet,  Interactions goes a level beyond by allowing the caller to inquire into recent  charges, ask complex questions about their accounts, change account information  such as addresses and emails, report a card as lost or stolen   . . .  the list goes on. During our demo, we are calling into a live demo application  for a demo client “Franklin Bank &amp; Trust” and interacting with the solution  in real time.</p>",http://www.finovate.com/spring14vid/interactions.html,http://www.finovate.com/spring14vid/logos/Interactions.jpg
SmartAsset,2014,Spring,Michael Carvin (CEO),"Jed Katz (Managing Director, Javelin Venture Partners), Michael Carvin (CEO, SmartAsset)",,"Y Combinator, Javelin Venture Partners, North Bridge Venture Partners, SV Angel","E-Trade, Quicken, New York Life",,"<strong>Website: </strong><a href=""http://smartasset.com"" target=""_blank"">smartasset.com</a><br>
                  <strong>Blog:</strong> <a href=""http://smartasset.com/blog"" target=""_blank"">smartasset.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@smartasset"" target=""_blank"">@smartasset</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded:</strong> July 2011<br>
                               <strong>Product  Demoed:</strong> SmartAsset  Mobile Product Launch<br>
                      <strong>Product Launch:</strong> FinovateSpring 2014<br>
                  <strong>Presenters: </strong>Michael Carvin (CEO),
                  Noel Curtis (Senior Software Engineer)","                    <strong>How they describe themselves: </strong>SmartAsset uses patent  pending technology to provide personalized, automated answers to life’s biggest  personal finance questions. Aggregating data from more than 130 sources and  partners, SmartAsset is the Web’s first personal finance platform designed to  empower people with the data and analytical tools they need to make  significantly better financial decisions. SmartAsset currently helps people  answer 79 questions on topics like home buying, going back to school,  retirement planning and more. Founded in 2011, SmartAsset is based in New York  and funded by Y Combinator, Javelin Venture Partners, North Bridge Venture  Partners and many others.                    <p><strong>How  they describe their product/innovation:</strong> SmartAsset is launching its mobile application at  FinovateSpring 2014. For Apple and Android, SmartAsset mobile users will have  all of the functionality afforded by our web application at their fingertips.</p>",http://www.finovate.com/spring14vid/smartasset.html,http://www.finovate.com/spring14vid/logos/SmartAsset.jpg
Red Giant,2014,Spring,Robert Sears (CEO),"Tim Brown (CEO, IDEO), B. Douglas Bernheim (Edward Ames Edmonds Professor of Economics, Stanford)",,,"Sunrise Banks, MasterCard",,"<strong>Website: </strong><a href=""http://redgiantmobile.com"" target=""_blank"">redgiantmobile.com</a><br>
                      <br>
                               <strong> HQ: </strong>Palo Alto, CA<br>
                               <strong>Founded:</strong> June 2008<br>
                               <strong>Product  Demoed:</strong> Red Giant<br>
                               <strong>Product  Launch:</strong> April 2014<br>
                  <strong>Presenters: </strong>Robert Sears (CEO),
                  Lindsay Douglass (Project Manager)","                    <strong>How they describe themselves: </strong>Red Giant is dedicated to  giving you the control you deserve over your everyday spending. We know that better-informed  people make smarter purchasing decisions, and making wiser decisions every day  puts you in a stronger financial position over time. We have approached  everyday financial management in an entirely new, proactive way − bringing you  the right information in an easy-to-use form at exactly the right time. Using  innovative, patented technology and user-centered design we have taken ordinary  payment cards and added intelligence, flexibility, and security that have never  before been available to consumers.                    <p><strong>How  they describe their product/innovation:</strong> Red Giant's groundbreaking service gives you financial  control and security you have not had until now. Red Giant keeps your debit  card locked until you are ready to use it. And when you want to make a purchase  you just use the mobile app to unlock your card with the touch of a button.<br>                        <br>                      When you unlock your Red Giant card it works just like any other card, only  better. You get instant receipts, immediate balance updates, and a real-time  picture of your actual spending compared to your goals − right on your  smartphone.<br>  <br>                      You can use your Red Giant physical card anywhere standard cards are accepted.  Red Giant Digital cards − shown securely in our mobile app − let you  separately control your online purchases.</p>",http://www.finovate.com/spring14vid/redgiantmobile.html,http://www.finovate.com/spring14vid/logos/RedGiant.jpg
WePay,2014,Spring,"Bill Clerico (CEO & Co-Founder), Rich Aberman (VP Product & Co-Founder), John Canfield (VP Risk), Susan Dunn (General Counsel), Tina Hsiao (VP Marketing), Tyler Gaffney (VP Sales), Michael La Guardia (VP Customer Success)","Bill Clerico (CEO & Co-Founder, WePay), Rich Aberman (VP Product & Co-Founder, WePay), Christopher Howard (Ignition Partners), Paul Purcell (Continental Investors), Peter Bell (Highland Capital Partners), Osama Bedier (Independent)",,"August Capital, Continental Investors, Highland Capital Partners, Ignition Partners, Max Levchin, SV Angel, Webb Investment Network, 500 Startups, Y Combinator",,"WePay has processed transactions for more than 250,000 customers and over 300 partners. Platform businesses such as Fundly, GoFundMe, Constant Contact, Care.com, CustomMade, InvoiceASAP and more have chosen WePay’s API to handle their payments.","<strong>Website: </strong><a href=""http://wepay.com"" target=""_blank"">wepay.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.wepay.com"" target=""_blank"">blog.wepay.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@wepay"" target=""_blank"">@wepay</a><br>
                      <br>
                               <strong> HQ: </strong>Palo Alto, CA<br>
                               <strong>Founded:</strong> August 2009<br>
                               <strong>Product  Demoed:</strong> Veda Risk  Engine/Risk API<br>
                               <strong>Product  Launch:</strong> April 2014<br>
                               <strong>Metrics:</strong> $35M in venture funding, 55 employees,  over 400,000 platform partners, $500M+ annual payment volume<br>
                  <strong>Presenters: </strong>John Canfield (VP Risk Management),
                  April Rassa (Director of Product Marketing)","                    <strong>How they describe themselves: </strong>WePay is a payment company  built for platform businesses such as online marketplaces, crowdfunding  websites, and small business software companies. WePay offers their platform  customers complete protection from fraud risk and compliance burdens while  delivering the flexibility to create seamless user experiences.                    <p><strong>How  they describe their product/innovation:</strong> Only WePay’s patent-pending risk engine technology, Veda,  stitches together a variety of novel data sources to better understand a  platform’s users. To fight fraud, Veda combines proprietary data from  platforms, data from WePay’s own transactional graph, and social data from  sources such as Facebook, Twitter, and Yelp.</p>",http://www.finovate.com/spring14vid/wepay.html,http://www.finovate.com/spring14vid/logos/WePay.jpg
D3 Banking,2014,Spring,"Mark Vipond (CEO), Jeelani Shaik (CTO), Michael Carter (CMO)",,,,"Jack Henry & Associates, Arvest, Payveris","Through our partnership with Jack Henry we deliver financial services to more than 220 smaller financial institutions. Arvest Bank (with $15B in assets) is also currently implementing our D3 Banking product, and another customer – who has asked us not to disclose their name until later this year – is also installing our D3 Banking product.","<strong>Website: </strong><a href=""http://d3banking.com"" target=""_blank"">d3banking.com</a><br>
                  <strong>Blog:</strong> <a href=""http://blog.d3banking.com/blog"" target=""_blank"">blog.d3banking.com/blog</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@D3Banking"" target=""_blank"">@D3Banking</a><br>
                      <br>
                               <strong> HQ: </strong>Omaha,  NE <br>
                               <strong>Founded: </strong>2007<br>
                               <strong>Product Demoed: </strong>D3 Banking<br>
                               <strong>Product Launch: </strong>November  2013<br>
                  <strong>Presenters: </strong>Mark Vipond (CEO), 
                  Kevin O'Kane (CPO)","                    <strong>How they describe themselves: </strong>At D3 Banking, we believe  that technology is supposed to make things easier, not harder. Our team  includes industry veterans who have built their careers around helping  financial institutions innovate and adapt to the increasing demands of the  customer. Our D3 Banking solutions are designed for organizations wanting to  deliver a comprehensive set of digital financial services to individuals and  small businesses. D3 Banking replaces disparate, bolt on, legacy systems with a  modern technology stack and a proven data analytics engine that allows  financial institutions to deliver personalized products and services – anytime,  anywhere, on any device – to their customers.                    <p><strong>How  they describe their product/innovation:</strong> D3 Banking reduces cost and complexity for financial  institutions providing a comprehensive set of digital banking services from a single-code  base that can be accessed via laptop, smartphone or tablet. Our responsive web  design frees FIs from the overhead associated with maintaining multiple  applications for a variety of devices, screen sizes and operating systems. D3  Banking provides the customer with a simple, intuitive interface for all types  of money movement and provides the FI with least cost routing options. Our  integrated financial management tools automatically categorize transactions to create  customizable budgets for customers, and our powerful data analytics engine helps  FIs identify new revenue opportunities.<br>                        </p>",http://www.finovate.com/spring14vid/d3banking.html,http://www.finovate.com/spring14vid/logos/D3Banking.jpg
Tactile Finance,2014,Spring,,,,,,,"<strong>Website: </strong><a href=""http://tactilefinance.com"" target=""_blank"">tactilefinance.com</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@tactilefinance"" target=""_blank"">@tactilefinance</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded:</strong> May 2012<br>
                               <strong>Product Demoed:</strong> Tacfi<br>
                               <strong>Product Launch:</strong> FinovateSpring 2014<br>
                  <strong>Presenters: </strong>Nicole Hamilton (CEO),
                  Shivie Mannshahia (Architect)","                    <strong>How they describe themselves: </strong>Tactile  Finance's mission is to make complex financial transactions easy to understand,  transparent, and speedy, starting with mortgages. For the residential mortgage  originator or borrower seeking support for smart decisions about residential  mortgage transactions, Tactile Finance provides clarity for both sellers and  buyers.                    <p><strong>How they describe their product/innovation:</strong> Tacfi is a consumer mortgage  website that, for the first time, allows mortgage shoppers to truly control  their outcomes throughout the mortgage process. Tacfi puts the intelligence of the mortgage industry up front and accessible to  consumers where it belongs. The website will also allow consumers to seamlessly  connect to select mortgage providers, while providing an easy way to safely and  effectively navigate the mortgage process from end to end.</p>",http://www.finovate.com/spring14vid/tactilefinance.html,http://www.finovate.com/spring14vid/logos/TactileFinance.jpg
Digital Insight,2014,Spring,"Jeff Hughes (GM, Digital Insight & CTO, NCR Financial Services), Andy Heyman (GM, NCR Financial Services), Jose Resendiz (VP Product Development, XD & Bus. Dev., Digital Insight)",,,,,"Digital Insight has a diversified customer base of over 1,000 financial institutions with 11 million online banking and 4.8 million mobile banking end users across mobile devices.","<strong>Website: </strong><a href=""http://digitalinsight.com"" target=""_blank"">digitalinsight.com</a><strong> | </strong><a href=""http://banking.com"" target=""_blank"">banking.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@digital_insight"" target=""_blank"">@digital_insight</a><br>
                      <br>
                               <strong> HQ: </strong>Menlo Park, CA<br>
                               <strong>Founded:</strong> July 1995<br>
                               <strong>Product Demoed:</strong> Promotion Suite for mobile<br>
                               <strong>Product Launch:</strong> Promotion Suite for mobile will be in the pilot stage by summer  2014 with limited availability by the end of 2014. Video integration will be in  the pilot stage by the end of 2014 with limited availability in 2015.<br>
                      <strong>Metrics:</strong> Digital Insight has a diversified customer base of over 1,000 financial  institutions with over 11 million online banking and 4.8 million mobile banking  end users across mobile devices. Digital Insight was acquired by NCR (NYSE:  NCR) in January 2014.NCR is the global leader in  consumer transaction technologies, turning everyday interactions with  businesses into exceptional experiences. With its software, hardware, and  portfolio of services, NCR enables more than 485 million transactions daily  across retail, finance, travel, hospitality, telecom and technology, and small  businesses. NCR solutions run the everyday transactions that make your life  easier. NCR is headquartered in Duluth, Georgia with approximately 29,000  employees and does business in 180 countries.<br>
                    <strong>Presenters: </strong>Karishma Anand (Director of Product Management),
                    Marshall Yuan (Senior Product Manager)","                    <strong>How they describe themselves: </strong>Digital Insight  is driving industry-leading innovations for its clients and end users across  online and mobile banking solutions. Our proven banking innovations give  financial institutions the flexibility and control to engage more, increase  retention, and cross- sell effectively. Digital Insight was acquired by NCR  (NYSE: NCR) in January 2014.                    <p><strong>How they describe their product/innovation:</strong> Digital Insight is demoing  Promotion Suite for mobile, an enhancement to Digital Insight’s current  Promotion Suite that brings personalized, relevant cross-sell offers from  financial institutions to their customers. The new Promotion Suite for mobile  extends financial institutions’ ability to create, manage, distribute, and  measure targeted cross-sell campaigns that reach the right customers online or  on their mobile device with the right products at the moment of truth.  Extending Promotion Suite to the mobile channel greatly improves offer  relevancy to deliver targeted offers anywhere, anytime, and on any device.</p>",http://www.finovate.com/spring14vid/digitalinsight.html,http://www.finovate.com/spring14vid/logos/DigitalInsight.jpg
Vorstack,2014,Spring,"Joe Eandi (CEO), Rich Reybok (SVP Engineering), Mark Manning (VP Technical Services)","Joe Eandi (CEO), Tim Eades (CEO, vArmour & former CEO, Silver Tail Systems), Glenn McGonnigle (Partner, Tech Operators), Jodi Sherman Jahic (Partner, Aligned Partners)","Ali Golshan (CTO & Co-Founder, Cyphort), Shane Shook (CKO & Global VP Consulting, Cylance), Laz Lazarikos (IT Security Strategist & former CISO, Sears Online), Alain Mayer (CEO & Co-Founder, Dygest)","Aligned Partners (alignedvc.com), Tech Operators (techoperators.com), EMC Ventures","Vorstack expects to partner with threat intelligence providers, log aggregators and SIEM providers.","Vorstack’s customers span e-commerce, technology and finance segments.","<strong>Website: </strong><a href=""http://vorstack.com"" target=""_blank"">vorstack.com</a><br>
                  <strong>Blog:</strong> <a href=""http://vorstack.com/blog"" target=""_blank"">vorstack.com/blog</a><br>
                  <strong>Twitter:</strong> <a href=""http://twitter.com/@vorstack"" target=""_blank"">@vorstack</a><br>
                      <br>
                               <strong> HQ: </strong>Los Altos, CA<br>
                               <strong>Founded: </strong>March 2011<br>
                               <strong>Product Demoed: </strong>VFS<br>
                               <strong>Product Launch: </strong>April 2014<br>
                      <strong>Metrics: </strong>Over $5M raised to date, 15+ employees, deployed  with multiple leading e-commerce and technology companies, launching with  financial services in April 2014<br>
                  <strong>Presenters: </strong>Joe Eandi (CEO &amp; Founder),
                  Mark Manning (VP Technical Services)","                    <strong>How they describe themselves: </strong>Vorstack  is a venture-backed company founded and staffed by security and legal experts.  Vorstack offers solutions that provide automation and control over threat and  fraud intelligence sharing, resulting in substantially reduced time to  discover, validate, contain, and remediate threats. Vorstack is deployed with  leading companies in the e-commerce and technology markets and is launching in  the financial services market in April 2014.                    <p><strong>How they describe their product/innovation:</strong> Vorstack’s  VFS solution for financial services is a distributed analytics and correlation  platform for multi-party coordinated cyber defense. We provide the control and  auditability necessary to satisfy strict domestic and international privacy,  anonymity, and compliance requirements. Our solution natively operates across  emerging threat-sharing standards like STIX/TAXII to enable organizations to  leverage public-private partnerships and ISACS to promote intelligence sharing.  Vorstack’s solution provides a configurable channel for human intelligence  collaboration complementing real-time data intelligence analysis.</p>",http://www.finovate.com/spring14vid/vorstack.html,http://www.finovate.com/spring14vid/logos/Vorstack.jpg
Digital Retail Apps,2014,Spring,"Wendy MacKinnon Keith (CEO & Founder), Julian Paas (CTO)",,"Pierre Roberge (Mobile and Payment Innovation Consultant, Founder, Dexit & Founder, SecureKey), Scott Todaro (VP Marketing and Bus. Dev., Knowledge Path & former VP Sales and Marketing, AisleBuyer (with successful exit to Intuit in 2012)), John Racine (Adviser and Operating Partner & Payments and Financial Technology, Skyline Global Partners)",Wendy MacKinnon Keith (CEO & Founder),"Digital River for payment gateway, VendHQ for cloud POS, Estimote for iBeacon","Lux Beauty Boutique, Edmonton, AB, Canada (independent cosmetics retailer)","<strong>Website: </strong><a href=""http://digitalretailapps.com"" target=""_blank"">digitalretailapps.com</a><br>
                  <strong>Twitter: </strong><a href=""http://twitter.com/@digitalretail"" target=""_blank"">@digitalretail</a><br>
                      <br>
                               <strong> HQ: </strong>Toronto, ON, Canada<br>
                               <strong>Founded: </strong>March 2012<br>
                               <strong>Product Demoed: </strong>SelfPay<br>
                               <strong>Product Launch: </strong>May 2014<br>
                               <strong>Metrics: </strong>Beta launch retailer recorded 7% sales  via SelfPay, official allowance confirmed from USPTO for claims protecting  SelfPay IP, less than 10 employees, $500,000 in self-funded capital<br>
                    <strong>Presenters: </strong>Wendy Keith (CEO &amp; Founder), 
                    Jakub Ostapinski (Marketing), 
                    Susan MacKay (Marketing)","                    <strong>How they describe themselves: </strong>DRA  is a mobile platform that improves the in-store experience to better match the  natural shopper flow. We focus on discovery and engagement through payments,  completely on a shopper’s mobile device. SelfPay provides an open and  consistent Shop+Pay experience across retailers, carriers, devices, payment  methods, processors and POS platforms. DRA enriches the shopper &amp; retailer  relationship and integrates with third parties to create a seamless, open and  integrated solution. Shoppers receive a consistent experience while our  partners make use of a shared platform with goals to boost adoption and  increase mobile transactions.                    <p><strong>How they describe their product/innovation:</strong> SelfPay  helps merchants engage each shopper in-aisle, item in hand and on their mobile  device. As a shopper nears a store, they’re located via iBeacon and location  services – no need to check in or search for an app. SelfPay welcomes the  shopper and displays the store’s brands, items, descriptions and pricing.  Shoppers can purchase items in-app to take home right away – no more waiting in  line just to pay. SelfPay extends the POS to the shopper's mobile device and  purchases are settled with the existing merchant account, posting immediately  to the POS. As a wallet aggregator, SelfPay offers a wide choice of payment  methods from credit cards to e-wallets. Also included is a patent-pending  wireless purchase verification method, SP Verify.</p>",http://www.finovate.com/spring14vid/digitalretailapps.html,http://www.finovate.com/spring14vid/logos/DigitalRetailApps.jpg
Market Prophit,2014,Spring,"Igor Gonta (CEO) Contacts: Bus. Dev., Press & Sales: Igor Gonta, CEO, igorgonta@marketprophit.com",,,,,,"<strong>Website: </strong><a href=""http://marketprophit.com"" target=""_blank"">marketprophit.com</a><br>
                  <strong>Blog:</strong> <a href=""http://marketprophit.com/blog/"" target=""_blank"">marketprophit.com/blog</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@MarketProphit"" target=""_blank"">@MarketProphit</a><br>
                      <br>
                               <strong> HQ: </strong>New York, NY<br>
                               <strong>Founded:</strong> January 2011<br>
                               <strong>Product Demoed:</strong> Market Prophit<br>
                               <strong>Product Launch:</strong> June 2013<br>
                               <strong>Metrics:</strong> Self-funded, 2 employees<br>
                  <strong>Presenters: </strong>Igor Gonta (CEO &amp; Founder)","                    <strong>How they describe themselves: </strong>Market Prophit  is an NYC-based financial, Big Data and analytics company that analyzes  stock-related chatter in social media and generates real-time sentiment, buzz,  and other metrics for retail and institutional investors.<br>                        <br>                      Market Prophit also quantitatively ranks financial bloggers in social media  based on the accuracy of their stock calls and track record of predictions.  Think of it as ""Morningstar + Klout"" for financial bloggers. Market  Prophit's blogger ranking system allows investors to easily identify and  discover the mavens in the crowd with the highest quality of information about  the stocks they care about. Market Prophit's unique blogger-ranking algorithms  help generate more robust sentiment signals while significantly reducing the  noise in the social media stream.                      <p><strong>How they describe their product/innovation: </strong>Market Prophit is demoing its  full functionality with its recently launched proprietary quantitative blogger  ranking system. Market Prophit quantitatively scores and ranks financial  bloggers in social media based on the accuracy of their stock calls and track record  of predictions. Using our unique ranking system, Market Prophit generates  sentiment signals that have less noise than generic crowd-based sentiment  signals and generate more alpha based on historical back tests. Our innovation  is the ability to take unstructured conversations and turn them into  quantifiable measures of predictability and performance in real time, allowing  for easy search and discovery of quality information by investors without  having to wade through millions of messages.</p>",http://www.finovate.com/spring14vid/marketprophit.html,http://www.finovate.com/spring14vid/logos/MarketProphit.jpg
Ondot Systems,2014,Spring,"Vaduvur Bharghavan (CEO & Co-Founder), Rachna Ahlawat (VP Products & Customer Engagements, Co-Founder)",,,,,,"<strong>Website: </strong><a href=""http://ondotsystems.com"" target=""_blank"">ondotsystems.com</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@ondotsystems"" target=""_blank"">@ondotsystems</a><br>
                      <br>
                               <strong> HQ: </strong>San Jose, CA<br>
                               <strong>Founded: </strong>March 2011<br>
                               <strong>Product Demoed: </strong>Mobile Card  Services<br>
                               <strong>Product Launch: </strong>April 2014<br>
                  <strong>Presenters: </strong> Vaduvur Bharghavan (CEO)","                    <strong>How they describe themselves: </strong>Ondot brings together  executives from mobile, security, and payment card industries that share a  vision of transforming how consumers interact with their financial  institutions. Ondot is the creator of Mobile Card Services, a solution that  enables financial institutions and their card processors to deliver a new  category of proactive control and interactive services to consumers.                    <p><strong>How they describe their product/innovation:</strong> Ondot  empowers cardholders to remotely control their existing credit and debit cards  from a smartphone app. Cardholders can lock or unlock their cards, set usage  controls by location, merchants, transaction types, and spend limits, and  receive and respond instantly to alerts and offers. Ondot’s customers have  reduced fraud costs by 60%, increased card revenue by 50%, and gained market  share in high-growth consumer segments.</p>",http://www.finovate.com/spring14vid/ondotsystems.html,http://www.finovate.com/spring14vid/logos/Ondot.jpg
LendingTree,2014,Spring,"Doug Lebda (CEP, Founder & Chairman), Gabe Dalporto (CMO & President of Mortgage), Nikul Patel (CPO), Claudette Hampton (SVP & Human Resources)","Joey Levin (CEO, IAC Search), Lance Melber (CEO, Valutrust Solutions), Mack Lackey (Founder, Kyck), Peter Horan (Founder, Horan MediaTech Advisors), Steve Ozonian (CRO, Carrington Mortgage Holdings), Neal Dermer (VP & Treasurer, Liberty Media)",,Liberty Media (largest shareholder),,,"<strong>Website: </strong><a href=""http://lendingtree.com"" target=""_blank"">lendingtree.com</a><br>
                  <strong>Blog:</strong> <a href=""https://www.lendingtree.com/blog"" target=""_blank"">lendingtree.com/blog</a><br>
                      <strong>Twitter: </strong><a href=""http://twitter.com/@LendingTree"" target=""_blank"">@LendingTree</a><br>
                      <br>
                               <strong> HQ: </strong>Charlotte, NC<br>
                               <strong>Founded:</strong> June 1996<br>
                               <strong>Product  Demoed:</strong> LendingTree's  New Mobile App<br>
                               <strong>Product  Launch:</strong> April 2014<br>
                               <strong>Metrics:</strong> Employees: 204, Full Year 2013 Revenue:  $136.24M, Unique Visitors: approximately 3 million per month, NASDAQ: TREE, Market  Cap: $376.4M<br>
                  <strong>Presenters: </strong>Doug Lebda (CEO &amp; Founder),
                  Nikul Patel (Chief Product Officer &amp; CTO)","                    <strong>How they describe themselves: </strong>LendingTree is the nation’s  leading online source for competitive home loan offers empowering consumers  during the mortgage, refinance, and auto loan processes. LendingTree provides  an online marketplace, which connects consumers to multiple lenders that  compete for their business, as well as an array of online tools and information  to help consumers find the best loan. Since inception, LendingTree has  facilitated more than 30 million loan requests and $214 billion in closed-loan  transactions. LendingTree provides access to lenders offering mortgages and refinance  loans, home equity loans and lines of credit, credit cards, personal loans and  more.                    <p><strong>How  they describe their product/innovation:</strong> LendingTree’s new mobile app empowers consumers to  find the best deal on a home loan. Through LendingTree's LoanExplorer platform,  which tracks real-time loan offers, the mobile app analyzes a user's current  loan offer and compares it to real-time offers being made by lenders on the  LendingTree network based on available interest rates, fees, charges, and  monthly payments.<br>                        <br>                      The easy-to-use app allows users to submit data  found in the Good Faith Estimate (GFE) of a consumer’s current loan offer. The  tool then analyzes the interest rate, origination fees, and monthly payments to  identify possible areas for improvement. Using interactive charts,  consumers can see where and how their current offer might be improved and receive  negotiating tips for getting a better deal. Additionally, the app displays  several real-time offers from lenders that may be able to provide a better  deal, complete with contact details and customer ratings and reviews.</p>",http://www.finovate.com/spring14vid/lendingtree.html,http://www.finovate.com/spring14vid/logos/LendingTree.jpg
